date,time,KW_TRUE,TEMPERATURE_TRUE,GHI_TRUE
2019-08-01,00:00:00,598.27,29.0,0
2019-08-01,01:00:00,558.85,28.9,0
2019-08-01,02:00:00,522.67,28.8,0
2019-08-01,03:00:00,493.74,28.7,0
2019-08-01,04:00:00,464.62,28.7,0
2019-08-01,05:00:00,430.15,28.7,0
2019-08-01,06:00:00,406.57,29.2,74
2019-08-01,07:00:00,424.41,29.8,273
2019-08-01,08:00:00,532.13,30.6,487
2019-08-01,09:00:00,681.93,30.9,680
2019-08-01,10:00:00,715.13,30.9,832
2019-08-01,11:00:00,722.53,31.0,940
2019-08-01,12:00:00,705.2,31.1,970
2019-08-01,13:00:00,722.8,31.1,935
2019-08-01,14:00:00,746.88,31.0,838
2019-08-01,15:00:00,772.88,30.8,681
2019-08-01,16:00:00,738.84,30.6,484
2019-08-01,17:00:00,668.86,30.2,268
2019-08-01,18:00:00,633.18,29.8,71
2019-08-01,19:00:00,574.52,29.6,0
2019-08-01,20:00:00,581.84,29.5,0
2019-08-01,21:00:00,550.53,29.5,0
2019-08-01,22:00:00,561.69,29.3,0
2019-08-01,23:00:00,565.19,29.2,0
2019-08-02,00:00:00,584.62,29.0,0
2019-08-02,01:00:00,560.6,28.8,0
2019-08-02,02:00:00,511.13,28.7,0
2019-08-02,03:00:00,478.69,28.7,0
2019-08-02,04:00:00,466.18,28.6,0
2019-08-02,05:00:00,434.36,28.6,0
2019-08-02,06:00:00,430.66,29.1,72
2019-08-02,07:00:00,446.17,29.5,269
2019-08-02,08:00:00,500.93,29.8,484
2019-08-02,09:00:00,592.43,29.9,680
2019-08-02,10:00:00,639.37,30.0,623
2019-08-02,11:00:00,625.08,30.2,943
2019-08-02,12:00:00,626.25,30.4,780
2019-08-02,13:00:00,652.2,30.5,939
2019-08-02,14:00:00,663.57,30.6,854
2019-08-02,15:00:00,687.85,30.5,696
2019-08-02,16:00:00,667.57,30.3,496
2019-08-02,17:00:00,634.61,29.8,276
2019-08-02,18:00:00,592.11,29.1,74
2019-08-02,19:00:00,569.23,28.9,0
2019-08-02,20:00:00,535.54,28.7,0
2019-08-02,21:00:00,512.02,28.6,0
2019-08-02,22:00:00,538.72,28.6,0
2019-08-02,23:00:00,577.11,28.5,0
2019-08-03,00:00:00,590.67,28.4,0
2019-08-03,01:00:00,554.89,28.3,0
2019-08-03,02:00:00,497.68,28.2,0
2019-08-03,03:00:00,465.08,28.1,0
2019-08-03,04:00:00,454.73,28.1,0
2019-08-03,05:00:00,437.73,28.2,0
2019-08-03,06:00:00,417.81,28.8,68
2019-08-03,07:00:00,443.36,29.2,263
2019-08-03,08:00:00,457.63,29.6,476
2019-08-03,09:00:00,454.38,30.0,670
2019-08-03,10:00:00,450.52,30.3,823
2019-08-03,11:00:00,480.08,30.5,941
2019-08-03,12:00:00,506.37,30.5,971
2019-08-03,13:00:00,520.24,30.6,935
2019-08-03,14:00:00,496.85,30.6,840
2019-08-03,15:00:00,530.61,30.4,685
2019-08-03,16:00:00,536.14,30.2,490
2019-08-03,17:00:00,501.99,29.8,271
2019-08-03,18:00:00,484.76,29.4,71
2019-08-03,19:00:00,469.04,29.3,0
2019-08-03,20:00:00,459.68,29.2,0
2019-08-03,21:00:00,469.74,29.1,0
2019-08-03,22:00:00,507.32,29.1,0
2019-08-03,23:00:00,547.06,29.1,0
2019-08-04,00:00:00,551.35,29.1,0
2019-08-04,01:00:00,545.59,29.1,0
2019-08-04,02:00:00,511.98,29.1,0
2019-08-04,03:00:00,490.67,29.1,0
2019-08-04,04:00:00,462.22,29.1,0
2019-08-04,05:00:00,449.45,29.1,0
2019-08-04,06:00:00,424.26,29.5,72
2019-08-04,07:00:00,413.24,29.9,272
2019-08-04,08:00:00,430.02,30.5,487
2019-08-04,09:00:00,450.73,30.9,681
2019-08-04,10:00:00,440.31,31.2,627
2019-08-04,11:00:00,433.41,31.5,944
2019-08-04,12:00:00,465.38,31.6,759
2019-08-04,13:00:00,504.54,31.6,661
2019-08-04,14:00:00,496.63,31.4,837
2019-08-04,15:00:00,503.33,31.3,683
2019-08-04,16:00:00,502.4,31.0,375
2019-08-04,17:00:00,490.28,30.5,242
2019-08-04,18:00:00,448.11,29.9,71
2019-08-04,19:00:00,469.59,29.7,0
2019-08-04,20:00:00,454.69,29.6,0
2019-08-04,21:00:00,480.37,29.5,0
2019-08-04,22:00:00,521.81,29.5,0
2019-08-04,23:00:00,580.03,29.4,0
2019-08-05,00:00:00,586.42,29.2,0
2019-08-05,01:00:00,534.54,29.1,0
2019-08-05,02:00:00,498.59,29.0,0
2019-08-05,03:00:00,471.14,29.0,0
2019-08-05,04:00:00,459.47,28.9,0
2019-08-05,05:00:00,436.53,29.0,0
2019-08-05,06:00:00,424.45,29.5,72
2019-08-05,07:00:00,450.88,29.8,275
2019-08-05,08:00:00,538.71,30.2,493
2019-08-05,09:00:00,650.72,30.7,689
2019-08-05,10:00:00,722.51,31.0,641
2019-08-05,11:00:00,739.9,31.1,753
2019-08-05,12:00:00,703.54,31.2,831
2019-08-05,13:00:00,723.99,31.2,942
2019-08-05,14:00:00,759.27,31.2,840
2019-08-05,15:00:00,754.82,30.9,415
2019-08-05,16:00:00,754.92,30.5,492
